Date,Product,Price
2026-02-02 03:28:44,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 03:28:44,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 03:28:44,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 03:28:44,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 03:31:07,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 03:31:07,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 03:35:33,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 03:35:33,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 03:40:10,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 03:40:10,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 04:59:01,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 04:59:01,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 05:02:35,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 05:02:35,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 06:01:18,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 06:01:18,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-02 08:26:06,Google Pixel 9 Quốc Tế (New),14490000
2026-02-02 08:26:06,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-03 04:03:06,Google Pixel 9 Quốc Tế (New),14490000
2026-02-03 04:03:06,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-04 04:01:40,Google Pixel 9 Quốc Tế (New),14490000
2026-02-04 04:01:40,Google Pixel 9 Quốc Tế (Likenew),12300000
2026-02-05 04:02:38,Google Pixel 9 Quốc Tế (New),14490000
2026-02-05 04:02:38,Google Pixel 9 Quốc Tế (Likenew),12300000
